__id,reuse_id,metric_month,monthly_visit
1111296,5ea80e57a419c3bf9bcd8790,2022-07,123
1122938,5ea80e57a419c3bf9bcd8790,2022-08,138
1137644,5ea80e57a419c3bf9bcd8790,2022-09,179
1102310,5ea80e57a419c3bf9bcd8790,2022-10,193
1103785,5ea80e57a419c3bf9bcd8790,2022-11,279
1100312,5ea80e57a419c3bf9bcd8790,2022-12,186
218001,5ea80e57a419c3bf9bcd8790,2023-01,233
229999,5ea80e57a419c3bf9bcd8790,2023-02,184
222823,5ea80e57a419c3bf9bcd8790,2023-03,213
98681,5ea80e57a419c3bf9bcd8790,2023-04,117
94890,5ea80e57a419c3bf9bcd8790,2023-05,130
25920,5ea80e57a419c3bf9bcd8790,2023-06,129
1270,5ea80e57a419c3bf9bcd8790,2023-07,109
1483271,5ea80e57a419c3bf9bcd8790,2023-08,105
1560213,5ea80e57a419c3bf9bcd8790,2023-09,109
1633877,5ea80e57a419c3bf9bcd8790,2023-10,87
1709018,5ea80e57a419c3bf9bcd8790,2023-11,137
1783522,5ea80e57a419c3bf9bcd8790,2023-12,105
1859386,5ea80e57a419c3bf9bcd8790,2024-01,138
1934654,5ea80e57a419c3bf9bcd8790,2024-02,96
2011019,5ea80e57a419c3bf9bcd8790,2024-03,122
2105287,5ea80e57a419c3bf9bcd8790,2024-04,81
2197538,5ea80e57a419c3bf9bcd8790,2024-05,73
2287126,5ea80e57a419c3bf9bcd8790,2024-06,140
2383665,5ea80e57a419c3bf9bcd8790,2024-07,88
2490703,5ea80e57a419c3bf9bcd8790,2024-08,65
2580430,5ea80e57a419c3bf9bcd8790,2024-09,80
2679516,5ea80e57a419c3bf9bcd8790,2024-10,81
2767276,5ea80e57a419c3bf9bcd8790,2024-11,96
2859618,5ea80e57a419c3bf9bcd8790,2024-12,80
2933035,5ea80e57a419c3bf9bcd8790,2025-01,8
